Iteration,rel. Discrepancy,rel. Norm,rel. Error
0,1.37081,0,1
1,0.728397,0.365281,0.841981
2,0.476441,0.422276,0.825509
3,0.404259,0.452356,0.817082
4,0.370018,0.471287,0.810349
5,0.350268,0.483986,0.804364
6,0.336864,0.492994,0.798791
7,0.326598,0.499734,0.793486
8,0.31807,0.505051,0.788382
9,0.310609,0.509461,0.783442
10,0.303859,0.513292,0.778646
11,0.297616,0.516754,0.773982
12,0.291755,0.519982,0.769441
13,0.286195,0.523064,0.76502
14,0.28088,0.526055,0.760714
15,0.275773,0.528994,0.75652
16,0.270848,0.531903,0.752435
17,0.266084,0.534795,0.748457
18,0.261467,0.537679,0.744583
19,0.256988,0.540559,0.740811
20,0.252637,0.543437,0.737138
21,0.248408,0.546312,0.733562
22,0.244296,0.549185,0.730079
23,0.240296,0.552052,0.726687
24,0.236404,0.554912,0.723384
25,0.232617,0.557764,0.720166
26,0.228931,0.560603,0.717032
27,0.225343,0.563429,0.713978
28,0.22185,0.566239,0.711002
29,0.21845,0.569032,0.708101
30,0.215139,0.571804,0.705273
31,0.211916,0.574555,0.702516
32,0.208777,0.577283,0.699827
33,0.205721,0.579986,0.697204
34,0.202745,0.582663,0.694644
35,0.199846,0.585313,0.692147
36,0.197022,0.587936,0.689709
37,0.194271,0.590529,0.687328
38,0.191592,0.593093,0.685003
39,0.188981,0.595626,0.682732
40,0.186436,0.598129,0.680513
41,0.183956,0.600601,0.678344
42,0.181539,0.603041,0.676224
43,0.179183,0.605449,0.674151
44,0.176885,0.607826,0.672123
45,0.174644,0.610171,0.67014
46,0.172459,0.612484,0.668199
47,0.170327,0.614765,0.666299
48,0.168247,0.617014,0.664439
49,0.166217,0.619232,0.662617
50,0.164236,0.621418,0.660833
51,0.162302,0.623573,0.659085
52,0.160414,0.625698,0.657373
53,0.15857,0.627791,0.655694
54,0.156769,0.629854,0.654048
55,0.155009,0.631888,0.652435
56,0.15329,0.633891,0.650852
57,0.15161,0.635865,0.649299
58,0.149967,0.637811,0.647776
59,0.148361,0.639728,0.64628
60,0.146791,0.641617,0.644813
61,0.145255,0.643478,0.643372
62,0.143753,0.645313,0.641957
63,0.142283,0.64712,0.640567
64,0.140844,0.648901,0.639202
65,0.139436,0.650656,0.63786
66,0.138058,0.652386,0.636542
67,0.136708,0.654091,0.635246
68,0.135386,0.655771,0.633972
69,0.134091,0.657427,0.63272
70,0.132823,0.659059,0.631488
71,0.13158,0.660668,0.630276
72,0.130362,0.662253,0.629085
73,0.129167,0.663817,0.627912
74,0.127997,0.665358,0.626758
75,0.126849,0.666878,0.625622
76,0.125723,0.668376,0.624505
77,0.124618,0.669854,0.623404
78,0.123535,0.67131,0.62232
79,0.122472,0.672747,0.621253
80,0.121428,0.674164,0.620202
81,0.120404,0.675562,0.619167
82,0.119398,0.67694,0.618147
83,0.118411,0.6783,0.617142
84,0.117442,0.679642,0.616152
85,0.11649,0.680966,0.615176
86,0.115554,0.682272,0.614214
87,0.114635,0.68356,0.613265
88,0.113732,0.684832,0.61233
89,0.112845,0.686087,0.611408
90,0.111973,0.687325,0.610499
91,0.111115,0.688548,0.609602
92,0.110272,0.689754,0.608718
93,0.109443,0.690945,0.607845
94,0.108628,0.692121,0.606984
95,0.107826,0.693282,0.606135
96,0.107037,0.694429,0.605297
97,0.106261,0.69556,0.604469
98,0.105497,0.696678,0.603653
99,0.104746,0.697782,0.602847
100,0.104006,0.698872,0.602051
101,0.103278,0.699949,0.601265
102,0.102562,0.701013,0.60049
103,0.101856,0.702063,0.599724
104,0.101161,0.703101,0.598967
105,0.100476,0.704127,0.59822
106,0.0998023,0.70514,0.597482
107,0.0991382,0.706142,0.596753
108,0.098484,0.707131,0.596032
109,0.0978393,0.708109,0.595321
110,0.0972041,0.709075,0.594617
111,0.0965781,0.71003,0.593922
112,0.095961,0.710975,0.593236
113,0.0953528,0.711908,0.592557
114,0.0947531,0.71283,0.591886
115,0.0941618,0.713743,0.591223
116,0.0935788,0.714644,0.590567
117,0.0930038,0.715536,0.589919
118,0.0924367,0.716418,0.589278
119,0.0918774,0.71729,0.588644
120,0.0913256,0.718152,0.588017
121,0.0907811,0.719005,0.587397
122,0.0902439,0.719848,0.586784
123,0.0897138,0.720683,0.586178
124,0.0891907,0.721508,0.585578
125,0.0886743,0.722325,0.584985
126,0.0881647,0.723133,0.584398
127,0.0876615,0.723932,0.583817
128,0.0871647,0.724723,0.583243
129,0.0866742,0.725505,0.582674
130,0.0861899,0.726279,0.582111
131,0.0857116,0.727046,0.581555
